id;name;score;steps;cheater;game_length;game_time
64;Järgmine petis;1;91;1;00:00:05;15.03.2025 15:19:31
62;Petis;1;66;1;00:00:07;15.03.2025 14:35:37
65;Viktor;4;66;0;00:00:17;15.03.2025 16:08:25
59;Aigar;5;49;0;00:00:18;15.03.2025 13:50:13
66;Peeter;5;97;0;00:00:18;15.03.2025 16:10:58
60;Ants;6;44;0;00:00:20;15.03.2025 14:18:04
63;Malle;7;34;0;00:00:25;15.03.2025 14:57:28
61;Leo;7;23;0;00:00:26;15.03.2025 14:25:04
67;Mari;7;68;0;00:00:27;15.03.2025 16:14:47
70;Paul;8;44;0;00:00:24;15.03.2025 17:15:45
69;Einar;8;21;0;00:00:32;15.03.2025 16:37:57
68;Juuli;8;38;0;00:00:34;15.03.2025 16:33:15
58;Aigar;9;35;0;00:00:29;15.03.2025 13:49:17
